Unnamed: 0,PROVINSI,Luas_Perkebunan_Rakyat,Luas_Perkebunan_Negara,Luas_Perkebunan_Swasta,Produksi_Sawit,Produktivitas_Sawit,Produktivitas_Rakyat_per_Ha,Produktivitas_Negara_per_Ha,Produktivitas_Swasta_per_Ha,Intensitas_Deforestasi,Produksi_per_Deforestasi,Proporsi_Luas_Perkebunan_Rakyat%,Proporsi_Luas_Perkebunan_Negara%,Proporsi_Luas_Perkebunan_Swasta%,Status_Dominan,Kategori_Deforestasi,Kategori_Luas,Kategori_Produktivitas,Pulau,Ada_Perkebunan,Ada_Produksi,Ada_Deforestasi,Deforestasi_Tinggi_Produktif,Rakyat_Dominan,Swasta_Dominan,Deforestasi_Score,Luas_Score,Produksi_Score,Produktivitas_Score,Impact_Score,Rank_Deforestasi,Rank_Luas,Rank_Produksi,Rank_Produktivitas,Deforestasi_x_Luas_Perkebunan_Rakyat,Deforestasi_x_Luas_Perkebunan_Negara,Deforestasi_x_Luas_Perkebunan_Swasta,Rasio_Produktivitas_Rakyat_Swasta,Rasio_Produktivitas_Rakyat_Negara,Rasio_Produktivitas_Negara_Swasta,Total_Deforestasi,Total_Luas
20,MALUKU UTARA,0,0,5695,2352,0.4129938542581212,0.0,0.0,0.4129938542581212,0.2384372256365232,1.7320863097429853,0.0,0.0,100.0,Swasta,Sedang,Kecil,Rendah,MALUKU & PAPUA,1,1,1,0,0,1,4.75,0.25,0.28,81.53,2.06,22,26,22,5,0.0,0.0,1357.9,0.0,0.0,0.0,1357.9,5695
21,NUSA TENGGARA BARAT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Sedang,Tidak Ada,Tidak Produktif,BALI & NUSA TENGGARA,0,0,1,0,0,0,7.37,0.0,0.0,0.0,2.95,20,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,2139.1,0
22,NUSA TENGGARA TIMUR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Sedang,Tidak Ada,Tidak Produktif,BALI & NUSA TENGGARA,0,0,1,0,0,0,3.95,0.0,0.0,0.0,1.58,23,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,0
23,PAPUA,10832,0,114480,63481,0.5065835674157303,5.860505908419498,0.0,0.5545160726764501,0.0487966036772216,10.38153332897233,8.64,0.0,91.36,Swasta,Tinggi,Sedang,Rendah,MALUKU & PAPUA,1,1,1,1,0,1,20.73,5.4,7.49,100.0,12.16,11,15,11,1,528.31872,0.0,5586.48128,10.568685376661742,0.0,0.0,6114.8,125312
24,PAPUA BARAT,21335,0,36433,8153,0.1411334995153026,0.3821420201546754,0.0,0.2237806384321906,0.071411508101371,1.9763411145856056,36.93,0.0,63.07,Swasta,Tinggi,Sedang,Rendah,MALUKU & PAPUA,1,1,1,0,0,1,14.05,2.49,0.96,27.86,6.66,17,18,18,20,1523.47329,0.0,2601.82671,1.7076634637918913,0.0,0.0,4125.3,57768
25,RIAU,1352806,73517,893050,93676,0.0403885015476165,0.069245701157446,1.2742086864262687,0.104894462796036,0.0128060902666367,3.15385107450315,58.33,3.17,38.5,Rakyat,Sangat Tinggi,Besar,Rendah,SUMATERA,1,1,1,0,1,0,100.0,100.0,11.06,7.97,73.32,1,1,9,22,17325.23493,941.55657,11435.3085,0.6601463920177764,0.0543440818565263,12.147530503148932,29702.1,2319373
26,SULAWESI BARAT,73641,0,35666,38545,0.352630664092876,0.5234176613571244,0.0,1.0807211349744854,0.0624324151243744,5.648198350013921,67.37,0.0,32.63,Rakyat,Sangat Tinggi,Sedang,Rendah,SULAWESI,1,1,1,1,1,0,23.12,4.71,4.55,69.61,12.03,9,17,16,10,4597.53091,0.0,2226.76909,0.4843225920343287,0.0,0.0,6824.3,109307
27,SULAWESI SELATAN,25646,5181,862,1330,0.0419703998232825,0.0518599391718006,0.2567071993823586,1.54292343387471,0.1833317554987535,0.228931423850179,80.93,16.35,2.72,Rakyat,Tinggi,Sedang,Rendah,SULAWESI,1,1,1,0,1,0,19.71,1.37,0.16,8.28,8.34,12,20,24,21,4701.709280000001,949.8696000000002,158.02112000000002,0.0336114793730016,0.2020198081572174,0.166377147268867,5809.6,31689
28,SULAWESI TENGAH,45113,0,77666,44546,0.3628144878195782,0.9874315607474564,0.0,0.5735585713182088,0.0396745371765529,9.144769256035474,36.74,0.0,63.26,Swasta,Tinggi,Sedang,Rendah,SULAWESI,1,1,1,1,0,1,16.55,5.29,5.26,71.62,9.78,16,16,15,8,1789.6788800000002,0.0,3081.5211199999994,1.721588012324607,0.0,0.0,4871.2,122779
29,SULAWESI TENGGARA,3851,954,46291,745,0.0145803976827931,0.1934562451311347,0.7809224318658281,0.0160938411354258,0.1551178174416784,0.0939956345651598,7.54,1.87,90.6,Swasta,Sangat Tinggi,Sedang,Rendah,SULAWESI,1,1,1,0,0,1,26.82,2.2,0.09,2.88,11.42,7,19,25,26,597.61286,148.21433000000002,7180.865399999999,12.020514152168268,0.2477278628927551,48.5230607966457,7925.9,51096
30,SULAWESI UTARA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Rendah,Tidak Ada,Tidak Produktif,SULAWESI,0,0,1,0,0,0,0.53,0.0,0.0,0.0,0.21,30,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,103.8,0
31,SUMATERA BARAT,187227,7499,169352,14034,0.0385466850510055,0.0749571375923344,1.8714495266035471,0.082868817610657,0.018221919478793,2.1154020077778783,51.42,2.06,46.52,Rakyat,Tinggi,Besar,Rendah,SUMATERA,1,1,1,0,1,0,22.48,15.7,1.66,7.61,14.2,10,9,17,23,3411.30564,136.66451999999998,3086.22984,0.9045276589380804,0.0400529838110956,22.58327777036938,6634.2,364078
32,SUMATERA SELATAN,429963,24355,542193,395137,0.3965204598845371,0.9190023327588652,16.224060767809483,0.7287755467149152,0.0040411997459134,98.11949045218644,43.15,2.44,54.41,Swasta,Sedang,Besar,Rendah,SUMATERA,1,1,1,0,0,1,13.72,42.96,46.63,78.27,32.36,19,6,3,6,1737.69365,98.26124,2191.1451099999995,1.2610224600721458,0.0566444089375132,22.262081708068155,4027.1,996511
33,SUMATERA UTARA,412544,261694,464627,505715,0.4440517532806786,1.225845000775675,1.932466927021636,1.0884322262804358,0.0061771149346059,71.88659398143542,36.22,22.98,40.8,Swasta,Sangat Tinggi,Besar,Rendah,SUMATERA,1,1,1,1,0,1,23.83,49.1,59.68,87.66,42.17,8,5,2,3,2548.04078,1616.62002,2870.2392,1.1262483516909712,0.634342033819423,1.7754591240150708,7034.9,1138865
